phone_1,phone_2,language_1,AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,sex_2,speaker_2,word_2,distance
m,m,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,242.61,242.91,Mrajesh1_69,AMA,69,M,t_0569397,TGT,stimuli_raw/wav/Fbhavya2.wav,68,Fbhavya2_68,ENG,202.29306,201.88,F,Fbhavya,AMA,0.21578269462516794
m,m,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,242.61,242.91,Mrajesh1_69,AMA,69,M,t_1053546,TGT,stimuli_raw/wav/Fbhavya1.wav,70,Fbhavya1_70,ENG,459.16,458.79,F,Fbhavya,AMA,0.23681743470390818
m,m,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,240.72,241.05,Mrajesh1_68,AMA,68,M,t_1053737,TGT,stimuli_raw/wav/Fbhavya1.wav,70,Fbhavya1_70,ENG,459.16,458.79,F,Fbhavya,AMA,0.26284972542521035
m,m,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,240.72,241.05,Mrajesh1_68,AMA,68,M,t_1056497,TGT,stimuli_raw/wav/Fbhavya1.wav,72,Fbhavya1_72,ENG,463.54,463.13,F,Fbhavya,AMA,0.23517698606410312
m,m,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,527.96823,528.44725,FNiralee1_69,AMA,69,F,t_0445587,TGT,stimuli_raw/wav/Mnirbhay2.wav,69,Mnirbhay2_69,ENG,272.16582,271.73,M,Mnirbhay,AMA,0.1931413879151149
n,n,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,149.07837,149.41,Mrajesh2_54,ANA,54,M,t_0555175,TGT,stimuli_raw/wav/Fbhavya2.wav,54,Fbhavya2_54,ENG,165.39,165.04,F,Fbhavya,ANA,0.25382511612781167
n,n,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,145.54474,145.88,Mrajesh2_52,ANA,52,M,t_1036220,TGT,stimuli_raw/wav/Fbhavya1.wav,54,Fbhavya1_54,ENG,360.44001000000003,360.05,F,Fbhavya,ANA,0.2704855328333671
n,n,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,184.88,185.38,FNiralee2_53,ANA,53,F,t_0434429,TGT,stimuli_raw/wav/Mnirbhay2.wav,54,Mnirbhay2_54,ENG,212.32936,211.92,M,Mnirbhay,ANA,0.2225297331903624
n,n,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,145.54474,145.88,Mrajesh2_52,ANA,52,M,t_1033767,TGT,stimuli_raw/wav/Fbhavya1.wav,52,Fbhavya1_52,ENG,356.0774,355.67,F,Fbhavya,ANA,0.2913706704133774
n,n,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,149.07837,149.41,Mrajesh2_54,ANA,54,M,t_1036992,TGT,stimuli_raw/wav/Fbhavya1.wav,54,Fbhavya1_54,ENG,360.44001000000003,360.05,F,Fbhavya,ANA,0.27377858356550255
