phone_1,phone_2,language_1,mean_dist,sd_dist,AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,sex_2,speaker_2,word_2,distance
d͡ʒʱ,ɦ,HIN,0.33583444926427897,0.006815758962898898,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,124.77548999999999,125.18796,Mrajesh1_26,ADXHA,26,M,t_0991203,OTH,stimuli_raw/wav/FNiralee2.wav,92,FNiralee2_92,ENG,360.1,359.61024,F,FNiralee,AHHA,0.34065391864587774
d͡ʒʱ,b,HIN,0.34423167575501173,0.013452496649167324,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,93.5,94.09103,FNiralee2_25,ADXHA,25,F,t_0883474,OTH,stimuli_raw/wav/Mrajesh2.wav,63,Mrajesh2_63,ENG,172.87,172.52456,M,Mrajesh,ABA,0.3347193241504962
d͡ʒʱ,d,HIN,0.31232120318650386,0.012122841054179335,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,74.65066,74.9988,Mrajesh2_25,ADXHA,25,M,t_0992011,OTH,stimuli_raw/wav/FNiralee1.wav,48,FNiralee1_48,ENG,377.41,376.87997,F,FNiralee,ADA,0.32089334630316074
d͡ʒʱ,d͡ʒ,HIN,0.23873948834934317,0.040708613286218824,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,74.65066,74.9988,Mrajesh2_25,ADXHA,25,M,t_0991923,OTH,stimuli_raw/wav/FNiralee1.wav,25,FNiralee1_25,ENG,216.32702,215.872,F,FNiralee,ADXA,0.2675248248567293
d͡ʒʱ,g,HIN,0.3102390295267059,0.020837499736604776,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,98.26682,98.82,FNiralee2_27,ADXHA,27,F,t_0400710,OTH,stimuli_raw/wav/Mrajesh2.wav,8,Mrajesh2_8,ENG,28.97,28.58212,M,Mrajesh,AGA,0.29550469215997976
d͡ʒʱ,j,HIN,0.33893844638144865,0.03081885031803822,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,78.20262,78.55,Mrajesh2_27,ADXHA,27,M,t_0514332,OTH,stimuli_raw/wav/FNiralee2.wav,69,FNiralee2_69,ENG,243.19,242.71,F,FNiralee,AJA,0.31714622833319067
d͡ʒʱ,kʰ,HIN,0.32258973766958254,0.04698558112250161,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,76.40547,76.80066,Mrajesh2_26,ADXHA,26,M,t_0993904,OTH,stimuli_raw/wav/FNiralee1.wav,4,FNiralee1_4,ENG,64.39471,63.858059999999995,F,FNiralee,AKHA,0.35581356069929404
d͡ʒʱ,l,HIN,0.3444547942063054,0.012209457243534057,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,95.94,96.49,FNiralee2_26,ADXHA,26,F,t_0403409,OTH,stimuli_raw/wav/Mrajesh1.wav,78,Mrajesh1_78,ENG,267.83,267.46272,M,Mrajesh,ALA,0.3358214041947953
d͡ʒʱ,m,HIN,0.35554886128246777,0.00884868399436077,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,126.66433,127.06,Mrajesh1_27,ADXHA,27,M,t_0992084,OTH,stimuli_raw/wav/FNiralee1.wav,67,FNiralee1_67,ENG,523.88923,523.48494,F,FNiralee,AMA,0.3492918968254784
d͡ʒʱ,n,HIN,0.3144920125358687,0.03430329539607781,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,76.40547,76.80066,Mrajesh2_26,ADXHA,26,M,t_0994190,OTH,stimuli_raw/wav/FNiralee1.wav,54,FNiralee1_54,ENG,421.58,421.11981,F,FNiralee,ANA,0.3387481053274806
d͡ʒʱ,s,HIN,0.3137529755065994,0.005446006896412709,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,78.20262,78.55,Mrajesh2_27,ADXHA,27,M,t_0512341,OTH,stimuli_raw/wav/FNiralee2.wav,89,FNiralee2_89,ENG,350.62834,350.17028,F,FNiralee,ASA,0.30990206709975726
d͡ʒʱ,tʰ,HIN,0.2788606570816564,0.046227047503903336,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,124.77548999999999,125.18796,Mrajesh1_26,ADXHA,26,M,t_0512026,OTH,stimuli_raw/wav/FNiralee2.wav,43,FNiralee2_43,ENG,151.6,151.1213,F,FNiralee,ATHA,0.24617319831741372
d͡ʒʱ,t͡ʃʰ,HIN,0.23424915925255957,0.03214056742969371,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,76.40547,76.80066,Mrajesh2_26,ADXHA,26,M,t_0991836,OTH,stimuli_raw/wav/FNiralee1.wav,17,FNiralee1_17,ENG,144.56335,144.06573,F,FNiralee,ATXHA,0.25697597243327946
