AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,phone_1,language_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,phone_2,sex_2,speaker_2,word_2,distance
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,194.70338999999998,195.05,Mrajesh2_72,AJA,72,M,j,ENG,t_1059768,OTH,stimuli_raw/wav/FNiralee1.wav,12,FNiralee1_12,HIN,108.69767,108.19187,ɡʱ,F,FNiralee,AGHA,0.34815835370408355
OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,238.07,238.51,FNiralee2_67,AJA,67,F,j,ENG,t_0927637,OTH,stimuli_raw/wav/Mrajesh1.wav,11,Mrajesh1_11,HIN,72.34,71.9268,ɡʱ,M,Mrajesh,AGHA,0.38859129353615285
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,250.59,250.91,Mrajesh1_72,AJA,72,M,j,ENG,t_1060470,OTH,stimuli_raw/wav/FNiralee2.wav,26,FNiralee2_26,HIN,96.49,95.94,d͡ʒʱ,F,FNiralee,ADXHA,0.35122790924505004
OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,541.04764,541.47252,FNiralee1_70,AJA,70,F,j,ENG,t_0930328,OTH,stimuli_raw/wav/Mrajesh2.wav,25,Mrajesh2_25,HIN,74.9988,74.65066,d͡ʒʱ,M,Mrajesh,ADXHA,0.3412086000917854
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,192.95967,193.32,Mrajesh2_71,AJA,71,M,j,ENG,t_0574286,OTH,stimuli_raw/wav/FNiralee1.wav,32,FNiralee1_32,HIN,258.87049,258.39535,ʈʰ,F,FNiralee,ATRHA,0.38366916839994597
OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,242.71,243.19,FNiralee2_69,AJA,69,F,j,ENG,t_0448872,OTH,stimuli_raw/wav/Mrajesh1.wav,32,Mrajesh1_32,HIN,140.09,139.68812,ʈʰ,M,Mrajesh,ATRHA,0.3431118931736343
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,192.95967,193.32,Mrajesh2_71,AJA,71,M,j,ENG,t_1058423,OTH,stimuli_raw/wav/FNiralee1.wav,34,FNiralee1_34,HIN,276.7203,276.27178,ɖ,F,FNiralee,ADRA,0.3236079065448962
OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,541.04764,541.47252,FNiralee1_70,AJA,70,F,j,ENG,t_0448411,OTH,stimuli_raw/wav/Mrajesh2.wav,35,Mrajesh2_35,HIN,98.85,98.4695,ɖ,M,Mrajesh,ADRA,0.3055726364105775
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,194.70338999999998,195.05,Mrajesh2_72,AJA,72,M,j,ENG,t_0575739,OTH,stimuli_raw/wav/FNiralee1.wav,37,FNiralee1_37,HIN,296.32082,295.78499,ɖʱ,F,FNiralee,ADRHA,0.35642367542667963
OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,543.1124599999998,543.54403,FNiralee1_71,AJA,71,F,j,ENG,t_0927827,OTH,stimuli_raw/wav/Mrajesh1.wav,37,Mrajesh1_37,HIN,152.86,152.43025,ɖʱ,M,Mrajesh,ADRHA,0.3445244650755071
