phone_X,language_X,AB_Order,speaker_X,file_X,onset_X,offset_X,item_X,word_X,interval_X,sex_X,triplet_id,distance_OTH,phone_OTH,file_OTH,interval_OTH,item_OTH,language_OTH,offset_OTH,onset_OTH,sex_OTH,speaker_OTH,word_OTH,distance_TGT,phone_TGT,file_TGT,interval_TGT,item_TGT,language_TGT,offset_TGT,onset_TGT,sex_TGT,speaker_TGT,word_TGT
t͡ʃʰ,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,141.90668,142.41555,FNiralee1_16,ATXHA,16,F,t_0392839,0.318347968852684,bʱ,stimuli_raw/wav/Mrajesh2.wav,66,Mrajesh2_66,HIN,180.53,180.16218,M,Mrajesh,ABHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
t͡ʃʰ,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,65.87,66.37063,FNiralee2_18,ATXHA,18,F,t_0873723,0.310636868401,dʱ,stimuli_raw/wav/Mrajesh2.wav,49,Mrajesh2_49,HIN,138.28,137.93788,M,Mrajesh,ADHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
t͡ʃʰ,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,65.87,66.37063,FNiralee2_18,ATXHA,18,F,t_0872085,0.326910541195238,ɖʱ,stimuli_raw/wav/Mrajesh1.wav,38,Mrajesh1_38,HIN,154.69,154.30132,M,Mrajesh,ADRHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
t͡ʃʰ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,52.23788,52.59264,Mrajesh2_18,ATXHA,18,M,t_0121809,0.329446378488103,ɡʱ,stimuli_raw/wav/Fsakshi1.wav,11,Fsakshi1_11,HIN,54.25,53.77,F,Fsakshi,AGHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
t͡ʃʰ,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,146.14092,146.63,FNiralee1_18,ATXHA,18,F,t_0872778,0.349434415074441,ɽʱ,stimuli_raw/wav/Mrajesh2.wav,100,Mrajesh2_100,HIN,270.37,269.92046,M,Mrajesh,ARTHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
t͡ʃʰ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,102.34576,102.75,Mrajesh1_16,ATXHA,16,M,t_0497608,0.260830468400698,ʈʰ,stimuli_raw/wav/FNiralee1.wav,33,FNiralee1_33,HIN,261.06865,260.56219,F,FNiralee,ATRHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ɖ,HIN,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,278.36311,278.81684,FNiralee1_35,ADRA,35,F,t_0893567,0.289853172179133,b,stimuli_raw/wav/Mrajesh2.wav,61,Mrajesh2_61,ENG,169.35,168.97163,M,Mrajesh,ABA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ɖ,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,149.09229,149.45944,Mrajesh1_36,ADRA,36,M,t_1008066,0.314226060405413,j,stimuli_raw/wav/FNiralee1.wav,72,FNiralee1_72,ENG,545.63786,545.20555,F,FNiralee,AJA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ɖ,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,278.36311,278.81684,FNiralee1_35,ADRA,35,F,t_0410228,0.293677626364362,l,stimuli_raw/wav/Mrajesh1.wav,78,Mrajesh1_78,ENG,267.83,267.46272,M,Mrajesh,ALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ɖ,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,96.7017,97.08,Mrajesh2_34,ADRA,34,M,t_1006762,0.288714573702993,n,stimuli_raw/wav/FNiralee2.wav,53,FNiralee2_53,ENG,185.38,184.88,F,FNiralee,ANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ɖ,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,98.4695,98.85,Mrajesh2_35,ADRA,35,M,t_1009343,0.315078749637784,s,stimuli_raw/wav/FNiralee2.wav,88,FNiralee2_88,ENG,348.08424,347.6,F,FNiralee,ASA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ɖ,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,100.21526,100.55,Mrajesh2_36,ADRA,36,M,t_1009020,0.297009195867075,tʰ,stimuli_raw/wav/FNiralee2.wav,43,FNiralee2_43,ENG,151.6,151.1213,F,FNiralee,ATHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ɖ,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,123.68566000000001,124.1817,FNiralee2_34,ADRA,34,F,t_0409660,0.302492727127919,t͡ʃʰ,stimuli_raw/wav/Mrajesh1.wav,18,Mrajesh1_18,ENG,106.35,105.91054,M,Mrajesh,ATXHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ɖʱ,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,295.78499,296.32082,FNiralee1_37,ADRHA,37,F,t_0419587,0.312028766380863,b,stimuli_raw/wav/Mrajesh2.wav,62,Mrajesh2_62,ENG,171.12,170.72062,M,Mrajesh,ABA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ɖʱ,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,154.30132,154.69,Mrajesh1_38,ADRHA,38,M,t_0531548,0.321434803817875,d͡ʒ,stimuli_raw/wav/FNiralee1.wav,27,FNiralee1_27,ENG,220.37719,219.92717,F,FNiralee,ADXA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ɖʱ,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,107.24923000000001,107.66,Mrajesh2_39,ADRHA,39,M,t_1011240,0.304415651968838,g,stimuli_raw/wav/FNiralee2.wav,9,FNiralee2_9,ENG,31.74054,31.15088,F,FNiralee,AGA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ɖʱ,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,154.30132,154.69,Mrajesh1_38,ADRHA,38,M,t_1012709,0.321399493094067,m,stimuli_raw/wav/FNiralee1.wav,69,FNiralee1_69,ENG,528.44725,527.96823,F,FNiralee,AMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ɖʱ,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,137.22415,137.75,FNiralee2_39,ADRHA,39,F,t_0415386,0.320999032858134,ɾ,stimuli_raw/wav/Mrajesh1.wav,74,Mrajesh1_74,ENG,256.69,256.26,M,Mrajesh,ARA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ɖʱ,HIN,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,132.37637,132.9209,FNiralee2_37,ADRHA,37,F,t_0417238,0.299275005092524,ʃ,stimuli_raw/wav/Mrajesh1.wav,83,Mrajesh1_83,ENG,283.76,283.33177,M,Mrajesh,AXA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ɡʱ,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,34.12889000000001,34.52,Mrajesh2_10,AGHA,10,M,t_0973435,0.311456409836709,b,stimuli_raw/wav/FNiralee2.wav,61,FNiralee2_61,ENG,209.03307,208.52112,F,FNiralee,ABA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ɡʱ,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,73.69,74.05,Mrajesh1_12,AGHA,12,M,t_0494742,0.291563886734603,d,stimuli_raw/wav/FNiralee2.wav,48,FNiralee2_48,ENG,165.19,164.70264,F,FNiralee,ADA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
