phone_1,phone_2,language_1,AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,sex_2,speaker_2,word_2,distance
ɽʱ,m,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,892.5444,892.98555,FNiralee1_105,ARTHA,105,F,t_0467169,OTH,stimuli_raw/wav/Mrajesh2.wav,69,Mrajesh2_69,ENG,187.88,187.55426,M,Mrajesh,AMA,0.35815331623669944
ɽʱ,n,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,892.5444,892.98555,FNiralee1_105,ARTHA,105,F,t_0468789,OTH,stimuli_raw/wav/Mrajesh2.wav,53,Mrajesh2_53,ENG,147.64,147.2,M,Mrajesh,ANA,0.28897906960755043
ɽʱ,ɦ,HIN,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,892.5444,892.98555,FNiralee1_105,ARTHA,105,F,t_0947610,OTH,stimuli_raw/wav/Mrajesh1.wav,93,Mrajesh1_93,ENG,308.45133,308.05748,M,Mrajesh,AHHA,0.3136448543061645
ɽʱ,ɾ,HIN,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,892.5444,892.98555,FNiralee1_105,ARTHA,105,F,t_0469005,OTH,stimuli_raw/wav/Mrajesh2.wav,74,Mrajesh2_74,ENG,200.53,200.12353000000002,M,Mrajesh,ARA,0.27219248284862535
ɽʱ,ʃ,HIN,OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay2.wav,409.16561,409.58684,Mnirbhay2_102,ARTHA,102,M,t_1087281,OTH,stimuli_raw/wav/Fsakshi1.wav,83,Fsakshi1_83,ENG,290.35,289.96,F,Fsakshi,AXA,0.3491515102137005
ɾ,dʱ,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,305.1463,305.5354200000001,FNiralee2_74,ARA,74,F,t_0932696,OTH,stimuli_raw/wav/Mrajesh2.wav,51,Mrajesh2_51,HIN,141.88,141.48882,M,Mrajesh,ADHA,0.3259583503780996
ɾ,ɖ,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,307.58,308.06,FNiralee2_75,ARA,75,F,t_0451032,OTH,stimuli_raw/wav/Mrajesh1.wav,34,Mrajesh1_34,HIN,145.82,145.4397,M,Mrajesh,ADRA,0.2939393814544149
ʃ,dʱ,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,330.92,331.40632,FNiralee2_82,AXA,82,F,t_0458086,OTH,stimuli_raw/wav/Mrajesh2.wav,51,Mrajesh2_51,HIN,141.88,141.48882,M,Mrajesh,ADHA,0.37409993956611
ʃ,ɖ,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,283.33177,283.76,Mrajesh1_83,AXA,83,M,t_0585464,OTH,stimuli_raw/wav/FNiralee1.wav,36,FNiralee1_36,HIN,280.92381,280.49093999999997,F,FNiralee,ADRA,0.341685427342478
ʃ,ɽ,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,649.4161,649.87823,FNiralee1_83,AXA,83,F,t_0939725,OTH,stimuli_raw/wav/Mrajesh1.wav,103,Mrajesh1_103,HIN,336.99044,336.57115,M,Mrajesh,ARTA,0.3415785680009682
